Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.01,0.01,0.3511021853609458
75% Corpus,3,0.01,0.31,0.3526267128749991
75% Corpus,3,0.01,0.61,0.35997114653691337
75% Corpus,3,0.01,0.9099999999999999,0.3683482890744412
75% Corpus,3,0.01,symmetric,0.35129072222336927
75% Corpus,3,0.31,0.01,0.3383910793437721
75% Corpus,3,0.31,0.31,0.3519039836122377
75% Corpus,3,0.31,0.61,0.3534956609436018
75% Corpus,3,0.31,0.9099999999999999,0.3601837015852836
75% Corpus,3,0.31,symmetric,0.35482290967322455
75% Corpus,3,0.61,0.01,0.3376010122643225
75% Corpus,3,0.61,0.31,0.3540652952907622
75% Corpus,3,0.61,0.61,0.3568889368239039
75% Corpus,3,0.61,0.9099999999999999,0.35683304091354334
75% Corpus,3,0.61,symmetric,0.3540652952907622
75% Corpus,3,0.9099999999999999,0.01,0.34057671042963555
75% Corpus,3,0.9099999999999999,0.31,0.3510861164007677
75% Corpus,3,0.9099999999999999,0.61,0.35818797039309835
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.3615221018032441
75% Corpus,3,0.9099999999999999,symmetric,0.35120036649614916
75% Corpus,3,symmetric,0.01,0.3387214633842344
75% Corpus,3,symmetric,0.31,0.3527662617215679
75% Corpus,3,symmetric,0.61,0.3553101882907506
75% Corpus,3,symmetric,0.9099999999999999,0.36174845124255545
75% Corpus,3,symmetric,symmetric,0.3527662617215679
75% Corpus,3,asymmetric,0.01,0.33834542046645916
75% Corpus,3,asymmetric,0.31,0.33792779025115083
75% Corpus,3,asymmetric,0.61,0.3367625837660051
75% Corpus,3,asymmetric,0.9099999999999999,0.3367037674618645
75% Corpus,3,asymmetric,symmetric,0.33394424624518765
75% Corpus,6,0.01,0.01,0.35444823887600063
75% Corpus,6,0.01,0.31,0.33744773680242246
75% Corpus,6,0.01,0.61,0.4142889508550882
75% Corpus,6,0.01,0.9099999999999999,0.41981060357144545
75% Corpus,6,0.01,symmetric,0.34865052781465006
75% Corpus,6,0.31,0.01,0.34494688762105047
75% Corpus,6,0.31,0.31,0.35711664976183605
75% Corpus,6,0.31,0.61,0.3285910550122781
75% Corpus,6,0.31,0.9099999999999999,0.4216402641545078
75% Corpus,6,0.31,symmetric,0.3522621659459903
75% Corpus,6,0.61,0.01,0.3491802372207231
75% Corpus,6,0.61,0.31,0.353579553330911
75% Corpus,6,0.61,0.61,0.3616577188388086
75% Corpus,6,0.61,0.9099999999999999,0.3508979921031237
75% Corpus,6,0.61,symmetric,0.35037698258485034
75% Corpus,6,0.9099999999999999,0.01,0.3482277560934633
75% Corpus,6,0.9099999999999999,0.31,0.3517536844411168
75% Corpus,6,0.9099999999999999,0.61,0.3488412948850032
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.3474784241985425
75% Corpus,6,0.9099999999999999,symmetric,0.34612725093350893
75% Corpus,6,symmetric,0.01,0.34118239432298764
75% Corpus,6,symmetric,0.31,0.34840793786356405
75% Corpus,6,symmetric,0.61,0.3813103701791258
75% Corpus,6,symmetric,0.9099999999999999,0.4277261609149075
75% Corpus,6,symmetric,symmetric,0.3667367659631597
75% Corpus,6,asymmetric,0.01,0.3570684944529478
75% Corpus,6,asymmetric,0.31,0.34125840107046024
75% Corpus,6,asymmetric,0.61,0.38229158435312155
75% Corpus,6,asymmetric,0.9099999999999999,0.4429292987281183
75% Corpus,6,asymmetric,symmetric,0.34785250908805887
75% Corpus,9,0.01,0.01,0.34063823714864583
75% Corpus,9,0.01,0.31,0.3818144544536758
75% Corpus,9,0.01,0.61,0.4466372398958813
75% Corpus,9,0.01,0.9099999999999999,0.4219899707544167
75% Corpus,9,0.01,symmetric,0.34129363107678273
75% Corpus,9,0.31,0.01,0.3472817685805732
75% Corpus,9,0.31,0.31,0.3291464401309657
75% Corpus,9,0.31,0.61,0.40335357459869714
75% Corpus,9,0.31,0.9099999999999999,0.43366199231828156
75% Corpus,9,0.31,symmetric,0.3483606401561413
75% Corpus,9,0.61,0.01,0.34559684874327395
75% Corpus,9,0.61,0.31,0.3453985145091603
75% Corpus,9,0.61,0.61,0.3818498403328131
75% Corpus,9,0.61,0.9099999999999999,0.4123653700242488
75% Corpus,9,0.61,symmetric,0.3488818968132947
75% Corpus,9,0.9099999999999999,0.01,0.3572146579098654
75% Corpus,9,0.9099999999999999,0.31,0.34802403911838337
75% Corpus,9,0.9099999999999999,0.61,0.34277237014579437
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.3785992354984365
75% Corpus,9,0.9099999999999999,symmetric,0.3529441960663397
75% Corpus,9,symmetric,0.01,0.3483883559570594
75% Corpus,9,symmetric,0.31,0.34079167221512374
75% Corpus,9,symmetric,0.61,0.45495574647125825
75% Corpus,9,symmetric,0.9099999999999999,0.4353507655409755
75% Corpus,9,symmetric,symmetric,0.34527853300539024
75% Corpus,9,asymmetric,0.01,0.3520709622320025
75% Corpus,9,asymmetric,0.31,0.3470803538543432
75% Corpus,9,asymmetric,0.61,0.4134711799370479
75% Corpus,9,asymmetric,0.9099999999999999,0.47108952513405833
75% Corpus,9,asymmetric,symmetric,0.35410829351498796
75% Corpus,12,0.01,0.01,0.34706111221028624
