artist,song,lyricId,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
B2K,Uh Huh,18745,0.855,0.681,2,-4.955,1,0.0688,0.0881,3.7e-06,0.0592,0.908,99.699,spotify:track:2nBY2iQvxOIXrdlJvg7ZPo,223293
System Of A Down,Chop Suey,18747,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,spotify:track:2DlHlPMa4M17kufBvI2lEN,210240
The Offspring,Defy You,18748,0.491,0.841,11,-3.651,0,0.0387,0.000609,2.4e-06,0.131,0.669,92.297,spotify:track:5VBVIcMh6CWy8szP3U0Ttp,228240
Default,Wasting My Time,18749,0.449,0.776,2,-5.594,1,0.0322,0.00171,0.0,0.0698,0.198,148.11,spotify:track:5dpAN1mjFPL38kh9kWsCiw,269307
Tim McGraw,The Cowboy In Me,18751,0.488,0.569,2,-7.323,1,0.0294,0.076,1.06e-06,0.0796,0.153,71.92,spotify:track:7gHoT3JZocCWKWkMWvAGix,244507
Martina McBride,Blessed,18752,0.587,0.629,7,-7.439,1,0.0424,0.183,0.0,0.0686,0.425,114.993,spotify:track:0nGzwlShUTBEQePuzMoUjN,276600
Tracy Byrd,Just Let Me Be In Love,18753,0.581,0.8,0,-7.397,0,0.0344,0.117,3.32e-05,0.045,0.415,96.1,spotify:track:71EVFQO2umcIfdxE8DquYy,226213
Joe Diffie,In Another World,18755,0.47,0.63,7,-7.194,0,0.0266,0.057,0.0,0.257,0.357,78.0,spotify:track:0VdpGEpUlEYu9MpX5fsSgt,226533
Brandy,What About Us?,18758,0.524,0.732,10,-1.595,0,0.355,0.257,0.0,0.439,0.736,185.932,spotify:track:537F8BYzIMOZBl75qwCXy8,250067
JAY-Z,Jigga,18761,0.579,0.96,1,-3.152,0,0.245,0.102,0.0,0.0674,0.566,133.63,spotify:track:4pnFRnCOfaETea25g0YSvG,211173
Faith Evans,I Love You,18762,0.489,0.757,11,-4.062,0,0.0926,0.00981,0.0,0.234,0.567,168.004,spotify:track:6gsmFgUiSTuinJlScwFODv,267160
Alanis Morissette,Hands Clean,18764,0.513,0.821,7,-5.428,1,0.0299,0.00192,2.88e-06,0.504,0.522,99.95,spotify:track:21c6rSyswHIbeOmHZ9ZO6c,269400
Aaliyah,More Than A Woman,18765,0.417,0.704,11,-6.046,1,0.335,0.0622,0.0,0.185,0.793,86.804,spotify:track:1s3hhkY447paKtDm2bEY31,230693
George Harrison,My Sweet Lord,18767,0.537,0.701,1,-8.913,0,0.0335,0.0972,0.0,0.0832,0.583,120.919,spotify:track:0qdQUeKVyevrbKhAo0ibxS,281227
Kevin Denney,That's Just Jessie,18769,0.492,0.685,5,-6.046,1,0.035,0.141,0.0,0.389,0.376,172.115,spotify:track:0hHLFYQOVwKhpnO7oSXcFz,232267
Tweet,Oops (Oh My),18770,0.66,0.536,10,-8.786,0,0.29,0.233,0.00669,0.111,0.775,159.963,spotify:track:5Y0E3dOeynKuLDAXu0t0Bg,237800
Usher,U Don't Have To Call,18771,0.793,0.568,1,-4.958,1,0.0459,0.0478,3.57e-05,0.0304,0.806,100.005,spotify:track:5PCJldueshnwqQVjS16543,269400
Kenny Chesney,Young,18773,0.684,0.84,9,-5.753,1,0.0433,0.0278,0.0,0.329,0.682,125.801,spotify:track:3tHPjLBakLS48aumhFpJMt,235733
P.O.D.,Youth Of The Nation,18774,0.563,0.86,8,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867,spotify:track:0UrWr7Jnu1heq1o99ZwUd0,256240
Chris Cagle,"I Breathe In, I Breathe Out",18775,0.316,0.514,7,-7.048,1,0.0271,0.178,0.0,0.194,0.242,185.882,spotify:track:3r513lY50AOJBqaG4nP2LT,243947
Sharissa,Any Other Night,18776,0.732,0.517,4,-7.901,0,0.0846,0.134,1.47e-06,0.104,0.595,76.991,spotify:track:41NDb9MBo9kItuWAwFk5cs,227416
Toby Keith,My List,18778,0.629,0.737,1,-4.309,0,0.0323,0.332,0.0,0.147,0.341,87.068,spotify:track:3vzmDjQ7E6gzAVg4ecp6XU,199813
Ashanti,Foolish,18779,0.665,0.695,0,-5.763,1,0.0532,0.347,0.0,0.106,0.707,90.119,spotify:track:6zMUIb4uce1CzpbjR3vMdN,227387
Amanda Perez,Never,18780,0.724,0.441,0,-7.341,1,0.0277,0.586,0.0,0.095,0.675,122.077,spotify:track:3ZlGwCGlf0pMHZhEHpa3wJ,227627
Michelle Branch,All You Wanted,18783,0.499,0.72,8,-9.101,1,0.0286,0.00466,0.00303,0.122,0.652,96.103,spotify:track:0kr6d8wHDQPlzuET33NVn6,217680
Enrique Iglesias,Escape,18784,0.777,0.852,11,-5.329,1,0.0295,0.0299,0.000498,0.145,0.877,125.994,spotify:track:6KRi6CBUitENJB4HQbSVSD,208040
Tommy Shane Steiner,What If She's An Angel,18787,0.535,0.528,8,-7.453,1,0.0258,0.308,1.11e-06,0.0912,0.41,146.169,spotify:track:4avs56frsTcnjwy2KlCQ5D,215533
Phil Vassar,That's When I Love You,18788,0.552,0.831,10,-4.819,1,0.0402,0.236,0.0,0.0907,0.604,111.061,spotify:track:1lhPhB8fdto7hvqCWljRm1,208880
Natalie Imbruglia,Wrong Impression,18789,0.48,0.753,6,-5.632,1,0.027,0.0102,0.0,0.18,0.263,100.181,spotify:track:1TZEQi5FfRDef6CcjxNIYB,256000
