date,rank,artist,song,lyricId
1982-01-02,1,Olivia Newton-John,Physical,11703
1982-01-02,2,Foreigner,Waiting For A Girl Like You,11711
1982-01-02,3,"Earth, Wind & Fire",Let's Groove,11706
1982-01-02,4,Daryl Hall John Oates,I Can't Go For That (No Can Do),11755
1982-01-02,5,Rod Stewart,Young Turks,11721
1982-01-02,6,Quarterflash,Harden My Heart,11725
1982-01-02,7,Diana Ross,Why Do Fools Fall In Love,11720
1982-01-02,8,Stevie Nicks With Don Henley,Leather And Lace,-1
1982-01-02,9,Journey,Don't Stop Believin',11737
1982-01-02,10,Lindsey Buckingham,Trouble,11729
1982-01-02,11,The J. Geils Band,Centerfold,11748
1982-01-02,12,Neil Diamond,Yesterday's Songs,11747
1982-01-02,13,Barbra Streisand,Comin' In And Out Of Your Life,11756
1982-01-02,14,George Benson,Turn Your Love Around,11733
1982-01-02,15,Juice Newton,The Sweetest Thing (I've Ever Known),11724
1982-01-02,16,Royal Philharmonic Orchestra,Hooked On Classics,-1
1982-01-02,17,Kool & The Gang,Take My Heart (You Can Have It If You Want It),11722
1982-01-02,18,Paul Davis,Cool Night,11751
1982-01-02,19,Commodores,Oh No,11696
1982-01-02,20,The Police,Every Little Thing She Does Is Magic,11695
1982-01-02,21,Eddie Rabbitt,Someone Could Lose A Heart Tonight,11757
1982-01-02,22,Air Supply,Here I Am (Just When I Thought I Was Over You),11693
1982-01-02,23,Ronnie Milsap,I Wouldn't Have Missed It For The World,11732
1982-01-02,24,The Cars,Shake It Up,11762
1982-01-02,25,Stevie Woods,Steal The Night,11680
1982-01-02,26,The Rolling Stones,Waiting On A Friend,11776
1982-01-02,27,Go-Go's,Our Lips Are Sealed,11674
1982-01-02,28,Billy Joel,She's Got A Way,11763
1982-01-02,29,Chilliwack,"My Girl (Gone, Gone, Gone)",11698
1982-01-02,30,The Beach Boys,Come Go With Me,11768
1982-01-02,31,Queen & David Bowie,Under Pressure,11750
1982-01-02,32,Sheena Easton,You Could Have Been With Me,11770
1982-01-02,33,Dan Fogelberg,Leader Of The Band,11771
1982-01-02,34,The Steve Miller Band,Heart Like A Wheel,11738
1982-01-02,35,Little River Band,Take It Easy On Me,11778
1982-01-02,36,Don McLean,Castles In The Air,11743
1982-01-02,37,Sneaker,More Than Just The Two Of Us,11744
1982-01-02,38,Daryl Hall John Oates,Private Eyes,11670
1982-01-02,39,The Rolling Stones,Start Me Up,11664
1982-01-02,40,Rick Springfield,Love Is Alright Tonite,11779
1982-01-02,41,Loverboy,Working For The Weekend,11758
1982-01-02,42,Air Supply,Sweet Dreams,11784
1982-01-02,43,Barry Manilow,The Old Songs,11712
