sentiment_comp,sentiment_pos,sentiment_neu,sentiment_neg,f_k_grade,flesch_index,fog_index,difficult_words,num_syllables,num_words,num_lines,num_dup,artist,song,lyricId
-0.9969,0.085,0.743,0.172,2.2,95.88,4.41,50,930,807,87,17,Eminem Featuring Dr. Dre,Hell Breaks Loose,21470
0.9891,0.146,0.828,0.025,0.5,105.55,3.37,16,341,300,37,13,Alicia Keys,Empire State Of Mind (Part II) Broken Down,21471
-0.9893,0.087,0.787,0.126,2.5,95.06,4.51,48,1021,845,84,24,Eminem,Elevator,21472
0.9646,0.175,0.774,0.051,-0.8,108.7,2.14,4,325,294,59,32,Adam Lambert,Whataya Want From Me,21473
0.9958,0.173,0.786,0.041,1.1,104.13,4.06,11,525,467,49,20,Robin Thicke,Sex Therapy,21474
0.9947,0.114,0.862,0.023,0.7,105.25,3.43,14,643,570,68,21,Usher Featuring Plies,Hey Daddy (Daddy's Home),21475
0.9758,0.09,0.905,0.005,5.8,64.88,3.05,7,419,265,41,19,Selena Gomez & The Scene,Naturally,21476
-0.9995,0.117,0.619,0.264,2.0,96.38,4.14,59,1018,838,95,19,Young Money Featuring Gucci Mane,Steady Mobbin',21477
0.9871,0.146,0.812,0.042,1.8,96.89,3.43,13,423,357,43,11,Blake Shelton Featuring Trace Adkins,Hillbilly Bone,21478
0.9602,0.099,0.833,0.068,2.7,94.45,5.14,66,931,789,74,17,Eminem,Music Box,21479
0.9744,0.195,0.701,0.105,1.4,98.01,3.25,8,268,216,30,10,Lady Antebellum,American Honey,21480
-0.9988,0.128,0.622,0.25,3.0,93.85,4.98,27,714,611,54,13,Lil Wayne Featuring Eminem,Drop The World,21481
-0.9865,0.059,0.667,0.274,0.2,106.57,2.96,12,366,321,45,18,Ke$ha Featuring 3OH!3,Blah Blah Blah,21482
0.9997,0.446,0.506,0.048,0.2,106.47,3.3,15,413,379,53,19,Ke$ha,Your Love Is My Drug,21483
-0.9716,0.013,0.905,0.082,0.6,105.35,3.42,11,461,409,49,25,Ke$ha,Take It Off,21484
0.9943,0.322,0.538,0.14,0.2,106.47,3.81,12,242,215,30,11,Lady Antebellum,Love This Pain,21485
-0.9942,0.1,0.73,0.17,2.2,95.88,4.53,41,731,595,64,23,Timbaland Featuring Drake,Say Something,21486
0.7347,0.08,0.889,0.031,1.4,103.32,4.12,6,272,237,23,9,Easton Corbin,A Little More Country Than That,21487
0.9989,0.302,0.68,0.018,-0.7,108.6,2.43,9,338,305,60,34,Sade,Soldier Of Love,21488
0.9969,0.295,0.639,0.067,0.4,105.86,3.49,6,233,217,28,9,Lady Antebellum,Ready To Love Again,21489
-0.8219,0.073,0.857,0.071,2.2,95.77,4.13,37,876,761,81,27,Jay-Z + Swizz Beatz,On To The Next One,21490
0.9697,0.134,0.837,0.029,-0.2,107.28,3.08,16,263,232,36,8,Snow Patrol Featuring Martha Wainwright,Set The Fire To The Third Bar,21491
0.987,0.203,0.755,0.042,-0.6,108.4,2.84,8,252,221,42,17,Miley Cyrus,When I Look At You,21492
0.9523,0.104,0.848,0.048,2.0,96.48,3.62,20,327,277,32,4,Keith Urban,'Til Summer Comes Around,21493
-0.6408,0.107,0.781,0.112,0.8,104.84,3.69,6,258,229,26,2,Zac Brown Band,Highway 20 Ride,21494
0.9354,0.151,0.775,0.074,1.3,98.21,2.8,5,240,204,29,4,Pearl Jam,Just Breathe,21495
0.9862,0.126,0.848,0.026,0.9,99.33,2.36,5,398,339,57,32,Taylor Swift,Today Was A Fairytale,21496
0.9996,0.115,0.805,0.08,11.6,66.1,13.2,622,7166,5549,183,12,Justin Bieber Featuring Ludacris,Baby,21497
0.9661,0.127,0.797,0.076,1.6,97.4,4.07,31,411,336,43,3,"Jay-Z, Bono, The Edge & Rihanna",Stranded (Haiti Mon Amour),21498
0.9972,0.407,0.521,0.072,3.0,88.43,3.85,7,200,150,18,11,Justin Timberlake & Matt Morris Featuring Charlie Sexton,Hallelujah,21499
0.9975,0.257,0.732,0.011,1.1,98.62,2.64,10,322,272,41,13,Lady Antebellum,Our Kind Of Love,21500
0.8208,0.188,0.667,0.145,2.1,90.77,4.08,13,182,143,24,7,Rihanna,Redemption Song,21501
0.9169,0.126,0.8,0.074,0.1,106.77,2.76,2,267,241,35,11,"Sheryl Crow, Kid Rock & Keith Urban",Lean On Me,21502
0.979,0.156,0.796,0.049,0.6,99.94,2.12,6,271,221,42,21,Taylor Swift,Breathless,21503
0.6833,0.078,0.849,0.073,2.4,90.05,3.07,23,812,614,92,44,B.o.B Featuring Bruno Mars,Nothin' On You,21504
0.9463,0.155,0.741,0.104,-1.0,109.31,1.92,11,281,257,58,27,Eddie Vedder,My City Of Ruins (Live From The Kennedy Center Honors),21505
0.8814,0.097,0.819,0.084,0.3,106.26,3.13,12,523,472,64,17,Jaheim,Ain't Leavin Without You,21506
0.9584,0.086,0.897,0.017,0.0,106.97,2.83,5,291,261,39,13,Jennifer Hudson Featuring The Roots,Let It Be,21507
0.9462,0.101,0.829,0.071,2.5,95.17,4.0,6,379,329,33,10,Jason Michael Carroll,Hurry Home,21508
0.7481,0.082,0.864,0.054,1.8,96.89,3.51,14,265,216,26,1,P!nk,Glitter In The Air,21509
0.2462,0.085,0.843,0.072,1.4,97.91,3.39,9,414,337,46,14,Lil Wayne Featuring Nicki Minaj,Knockout,21510
0.9914,0.144,0.852,0.004,1.2,98.41,3.11,6,366,304,45,17,Dave Matthews Band,You And Me,21511
0.9268,0.105,0.815,0.08,-0.2,107.28,2.62,34,707,638,99,38,"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",I Made It (Cash Money Heroes),21512
0.9468,0.201,0.699,0.1,2.0,96.38,3.75,8,202,175,20,6,Mary J. Blige & Andrea Bocelli,Bridge Over Troubled Water,21513
-0.5321,0.111,0.777,0.113,5.6,65.59,3.26,1153,18089,11321,1960,1,Lil Wayne Featuring Gudda,F**k Today,21514
-0.8732,0.105,0.805,0.091,4.4,79.46,3.98,50,847,610,69,20,Gucci Mane,Lemonade,21515
-0.9235,0.045,0.824,0.13,2.7,83.73,3.26,36,314,225,49,16,Shiny Toy Guns,Major Tom,21516
0.9996,0.242,0.741,0.017,1.1,98.82,3.01,35,941,804,125,69,Artists For Haiti,We Are The World 25: For Haiti,21517
0.1488,0.097,0.797,0.105,1.6,97.4,3.22,14,491,420,54,25,Iyaz,Solo,21518
0.3331,0.153,0.708,0.14,0.4,105.96,3.08,1,97,92,12,1,General Larry Platt,Pants On The Ground,21519
0.9988,0.267,0.647,0.086,0.5,105.55,3.24,7,636,566,70,37,Rihanna,Rude Boy,21520
0.986,0.121,0.825,0.054,2.9,88.74,3.51,58,806,644,81,34,Lloyd Banks Featuring Juelz Santana,"Beamer, Benz, Or Bentley",21521
0.9746,0.172,0.778,0.05,1.0,99.02,2.69,2,223,193,31,3,Monica,Everything To Me,21522
-0.9973,0.095,0.729,0.177,1.6,97.5,3.14,27,741,624,81,25,Waka Flocka Flame,O Let's Do It,21523
0.9967,0.222,0.737,0.041,1.4,98.01,3.01,7,373,317,44,20,Kellie Pickler,Didn't You Know How Much I Loved You,21524
0.9245,0.094,0.833,0.073,2.0,90.97,3.27,111,936,718,124,5,Christopher Wilde,Hero,21525
0.9994,0.512,0.421,0.066,4.1,80.28,3.6,8,278,199,25,11,k.d. lang,Hallelujah (Vancouver Winter 2010 Version),21526
0.9992,0.231,0.699,0.07,2.6,94.86,4.41,30,833,679,66,21,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",All I Do Is Win,21527
0.9948,0.157,0.801,0.042,1.3,98.31,2.86,11,481,416,60,28,Usher,There Goes My Baby,21528
0.9955,0.225,0.751,0.025,2.2,90.46,3.57,22,405,304,48,41,Christopher Wilde,StarStruck,21529
0.9998,0.113,0.801,0.086,5.7,65.28,3.78,1402,16416,10564,1723,5,Christopher Wilde & Anna Margaret,Something About The Sunshine,21530
0.2278,0.021,0.968,0.012,1.9,91.37,2.36,6,272,205,38,51,3OH!3 Featuring Neon Hitch,Follow Me Down,21531
0.9484,0.096,0.837,0.067,1.1,98.82,3.22,43,772,667,104,13,Mariah Carey Featuring Nicki Minaj,Up Out My Face,21532
-0.9974,0.109,0.691,0.2,1.7,97.09,3.37,28,721,611,75,28,Ludacris Featuring Nicki Minaj,My Chick Bad,21533
-0.9513,0.044,0.861,0.096,0.8,104.94,3.78,21,457,401,46,22,Taio Cruz Featuring Ludacris,Break Your Heart,21534
-0.9998,0.112,0.731,0.157,2.8,94.25,5.02,328,5475,4636,424,9,Kris Allen,Let It Be,21535
-0.9328,0.053,0.853,0.094,1.6,97.5,3.17,17,508,439,57,27,Trey Songz,Neighbors Know My Name,21536
-0.2326,0.164,0.685,0.151,2.7,89.14,3.42,11,420,313,41,13,Matisyahu,One Day,21537
-0.9976,0.073,0.708,0.218,2.0,96.48,3.68,30,474,401,46,4,Yo Gotti Featuring Lil Wayne,"Women Lie, Men Lie",21538
0.9265,0.133,0.777,0.09,-0.4,107.69,2.56,7,271,250,42,19,Joe Nichols,Gimmie That Girl,21539
0.9758,0.164,0.758,0.077,2.2,95.88,3.72,11,262,223,24,8,Justin Moore,Backwoods,21540
0.9797,0.179,0.679,0.142,0.4,105.96,3.37,6,476,415,54,18,Justin Bieber,Never Let You Go,21541
0.9967,0.224,0.699,0.077,2.4,89.95,2.89,12,616,458,67,23,Jason Derulo,Ridin' Solo,21542
-0.979,0.078,0.806,0.117,2.4,95.37,3.92,24,625,529,54,20,Usher Featuring Nicki Minaj,Lil Freak,21543
0.9417,0.127,0.873,0.0,-0.7,108.5,2.58,6,182,161,31,13,Avril Lavigne,Alice,21544
0.7241,0.105,0.812,0.083,0.5,105.55,3.74,11,270,242,30,6,Kenny Chesney,Ain't Back Yet,21545
-0.9731,0.148,0.633,0.218,0.6,105.35,3.5,8,252,225,27,10,Godsmack,Cryin' Like A Bitch!,21546
0.995,0.249,0.711,0.04,1.1,98.72,2.97,9,259,214,33,11,Danny Gokey,My Best Days Are Ahead Of Me,21547
0.7003,0.083,0.853,0.064,1.1,98.62,2.97,6,290,239,36,15,La Roux,Bulletproof,21548
0.9917,0.218,0.758,0.024,0.3,106.16,3.17,9,273,239,32,1,Chris Young,The Man I Want To Be,21549
0.9945,0.212,0.788,0.0,-0.1,107.08,2.64,5,236,223,34,15,Steel Magnolia,Keep On Lovin' You,21550
0.9955,0.288,0.596,0.116,0.2,106.57,2.84,4,304,270,38,16,Eric Church,Hell On The Heart,21551
0.7142,0.112,0.794,0.094,1.8,96.79,3.49,35,711,602,72,23,Drake,Over,21552
-0.9883,0.129,0.688,0.183,1.6,97.4,3.34,28,667,553,71,17,Sam Adams,Driving Me Crazy,21553
0.9892,0.149,0.828,0.022,0.5,105.76,3.45,10,315,278,35,2,Mario,Ooh Baby,21554
0.9978,0.37,0.615,0.015,0.7,105.25,3.87,7,267,235,28,4,Justin Bieber,U Smile,21555
-0.9626,0.099,0.783,0.119,2.5,95.17,4.66,48,865,732,73,16,T.I.,I'm Back,21556
0.9768,0.124,0.779,0.097,2.4,89.85,3.75,59,866,688,100,43,Spose,I'm Awesome,21557
-0.6728,0.087,0.821,0.092,2.4,95.47,4.26,17,508,426,44,28,Usher,More,21558
0.988,0.153,0.847,0.0,1.1,98.72,2.93,7,295,241,37,9,Disney's Friends For Change,Make A Wave,21559
0.9994,0.192,0.774,0.034,0.7,105.25,3.62,26,999,938,112,50,The-Dream,Love King,21560
-0.9954,0.076,0.653,0.272,1.3,98.31,3.04,9,334,283,41,19,Maxwell,Fistful Of Tears,21561
0.9942,0.234,0.752,0.014,3.1,93.44,4.68,4,245,211,18,7,George Strait,I Gotta Get To You,21562
0.9976,0.208,0.729,0.063,1.8,96.89,3.5,12,506,433,52,23,Sean Kingston & Justin Bieber,Eenie Meenie,21563
0.9753,0.125,0.855,0.02,2.9,88.53,3.77,10,308,246,30,7,T-Pain,Reverse Cowgirl,21564
-0.9776,0.112,0.737,0.151,1.5,97.7,3.82,50,541,440,59,1,Young Money,Roger That,21565
0.9981,0.302,0.659,0.039,1.2,103.93,4.02,9,331,290,30,6,Jaron And The Long Road To Love,Pray For You,21566
0.9738,0.145,0.802,0.053,1.8,96.99,3.43,16,314,272,33,15,Luke Bryan,Rain Is A Good Thing,21567
0.9645,0.127,0.796,0.076,0.8,104.94,3.58,19,455,402,46,19,Justin Bieber,That Should Be Me,21568
-0.9668,0.099,0.724,0.177,0.9,99.33,2.36,3,223,188,32,6,Martina McBride,Wrong Baby Wrong,21569
0.9509,0.09,0.861,0.049,1.8,96.89,3.59,11,342,297,36,13,Miranda Lambert,The House That Built Me,21570
-0.8176,0.079,0.774,0.147,0.8,99.63,2.24,1,252,219,39,16,Colbie Caillat,I Never Told You,21571
0.9991,0.242,0.755,0.004,0.4,105.86,3.28,11,555,497,64,29,Usher Featuring will.i.am,OMG,21572
0.9966,0.212,0.698,0.091,1.5,97.7,3.45,32,660,529,71,25,Diddy - Dirty Money Featuring T.I.,Hello Good Morning,21573
0.9881,0.146,0.808,0.046,3.9,80.58,3.57,11,475,329,43,31,Lady Gaga,Alejandro,21574
0.9882,0.161,0.77,0.069,3.0,88.33,4.58,32,560,427,51,7,Travie McCoy Featuring Bruno Mars,Billionaire,21575
0.9865,0.156,0.786,0.059,1.2,98.41,3.49,22,559,469,69,25,Erykah Badu,Window Seat,21576
-0.993,0.083,0.667,0.25,0.9,104.74,3.56,3,275,240,27,9,Clay Walker,She Won't Be Lonely Long,21577
0.802,0.093,0.837,0.071,-0.1,107.08,3.02,4,231,212,32,6,Jack Johnson,You And Your Heart,21578
0.9896,0.112,0.851,0.036,1.7,102.61,4.55,18,596,548,50,17,B.o.B,Don't Let Me Fall,21579
0.9797,0.096,0.851,0.053,0.3,106.26,3.12,15,582,509,69,32,Nickelback,This Afternoon,21580
0.9934,0.178,0.749,0.073,1.8,96.89,3.43,14,405,349,42,15,Miranda Cosgrove,Kissin U,21581
0.9666,0.107,0.864,0.03,1.7,97.3,3.8,12,387,314,40,15,Alicia Keys,Un-Thinkable (I'm Ready),21582
0.9985,0.121,0.786,0.093,4.2,79.87,4.78,302,4883,3374,402,6,Breaking Benjamin,Give Me A Sign (Forever And Ever),21583
0.7704,0.089,0.857,0.054,2.1,90.66,2.68,11,447,336,55,28,Kelly Clarkson,All I Ever Wanted,21584
0.9989,0.248,0.709,0.043,2.6,94.86,4.51,28,594,507,49,9,B.o.B Featuring Hayley Williams,Airplanes,21585
0.9346,0.111,0.842,0.047,1.1,98.72,3.02,12,346,288,44,14,Christina Aguilera,Not Myself Tonight,21586
-0.9867,0.177,0.611,0.212,-0.4,107.69,2.58,5,469,444,74,36,Glee Cast,Gives You Hell,21587
0.9908,0.204,0.766,0.03,0.2,106.47,2.88,6,245,215,30,7,Glee Cast Featuring Jonathan Groff,Hello,21588
-0.7814,0.018,0.906,0.076,5.0,77.84,4.16,0,328,228,22,24,Glee Cast,Hello Goodbye,21589
0.9922,0.23,0.732,0.038,0.8,99.43,2.32,6,219,190,33,13,Glee Cast,"Hello, I Love You",21590
-0.6597,0.13,0.715,0.155,0.4,106.06,3.45,7,325,290,38,16,Jason Aldean,Crazy Town,21591
