sentiment_comp,sentiment_pos,sentiment_neu,sentiment_neg,f_k_grade,flesch_index,fog_index,difficult_words,num_syllables,num_words,num_lines,num_dup,artist,song,lyricId
0.991,0.163,0.772,0.065,1.1,98.72,2.6,10,429,360,55,13,Jodeci,Stay,15667
0.9975,0.191,0.792,0.017,-0.4,107.69,2.5,9,451,400,67,21,Luther Vandross,The Rush,15668
0.9945,0.151,0.826,0.022,0.8,99.63,2.34,15,495,418,74,40,Martika,Martika's Kitchen,15669
0.9892,0.223,0.709,0.068,0.4,100.54,2.08,10,228,198,42,9,Mint Condition,Breakin' My Heart (Pretty Brown Eyes),15670
-0.9941,0.025,0.808,0.167,1.2,98.51,2.92,17,399,336,50,16,Skid Row,Wasted Time,15671
0.9929,0.324,0.566,0.11,0.4,100.44,1.92,6,241,203,42,9,BeBe & CeCe Winans Featuring Mavis Staples,I'll Take You There,15672
-0.9575,0.065,0.792,0.144,1.7,97.3,3.93,16,303,261,33,6,The Northern Pikes,She Ain't Pretty,15673
0.9904,0.183,0.729,0.089,0.4,105.96,3.18,22,476,414,54,0,2nd II None,Be True To Yourself,15674
1.0,0.137,0.783,0.079,32.6,11.29,34.13,3285,171218,135771,1611,2,Clivilles & Cole,A Deeper Love/Pride In The Name Of Love,15675
0.661,0.15,0.692,0.157,0.5,105.66,3.2,2,220,192,24,15,Blur,There's No Other Way,15676
0.9048,0.053,0.864,0.082,-0.8,108.8,2.23,8,506,445,90,63,Paula Abdul,Vibeology,15677
0.9975,0.343,0.633,0.025,-0.7,108.6,2.42,4,236,211,41,12,Amy Grant,Good For Me,15678
0.7351,0.04,0.935,0.025,2.5,89.75,3.79,25,480,365,52,15,P.M. Dawn,Paper Doll,15679
1.0,0.135,0.789,0.076,18.9,41.6,19.41,7411,197553,145725,3161,0,Rhythm Syndicate,Blinded By Love,15680
0.9918,0.108,0.863,0.029,0.6,105.45,3.71,28,637,564,69,7,M.C. Brains,Oochie Coochie,15681
-0.7383,0.108,0.742,0.149,1.3,92.8,2.2,5,167,133,33,9,Celine Dion And Peabo Bryson,Beauty And The Beast,15682
0.9852,0.116,0.838,0.046,1.4,98.01,3.15,25,691,587,81,2,Charm,Butt Naked,15683
