PLEASE FOLLOW THE FORMAT AS SEEN BELOW AND READ THIS BEFORE YOU START ADDING SOMETHING LIKE ANNOTATIONS AND SUGGESTIONS
Baseball
Hank Aaron
Jim Abbott
Roberto Alomar
Bronson Arroyo
José Altuve
Jeff Bagwell
Dusty Baker
Yogi Berra
Wade Boggs
Barry Bonds
Ryan Braun
Lou Brock
Bill Buckner
Jay Buhner
Miguel Cabrera
Ken Caminiti
Robinson Canó
Jose Canseco
Rod Carew
Aroldis Chapman
Roger Clemens
Roberto Clemente
Ty Cobb
Bobby Cox
Dennis Eckersley
Yunel Escobar
Cecil Fielder
Prince Fielder
Andrés Galarraga
Nomar Garciaparra
Dillon Gee
Jason Giambi
Dwight "Doc" Gooden
Curtis Granderson
Zack Greinke
Ken Griffey Jr
Tony Gwynn
Roy Halladay
Cole Hamels
Bryce Harper
Ricky Henderson
Félix Hernández
Orel Hershiser
Ryan Howard
Todd Hundley
Bo Jackson
Reggie Jackson
Derek Jeter
Randy Johnson
David Justice
Matt Kemp
Clayton Kershaw
Dallas Keuchel
Chuck Knoblauch
Sandy Koufax
Tony La Russa
Tommy Lasorda
Cliff Lee
Tim Lincecum
Kenny Lofton
Greg Maddux
Candy Maldonado
Mickey Mantle
Nick Markakis
Pedro Martinez
Daisuke Matsuzaka
Don Mattingly
Willie Mays
Mark McGwire
Raúl Mondesí
Otis Nixon
Hideo Nomo
Sadaharu Oh
Rey Ordóñez
David Ortiz
Jonathan Papelbon
Satchel Paige
Terry Pendleton
Andy Pettitte
Mike Piazza
Juan Pierre
Lou Piniella
Plácido Polanco
Jorge Posada
Buster Posey
Kirby Puckett
Yasiel Puig
Albert Pujols
Manny Ramirez
Colby Rasmus
Cal Ripken, Jr
Mariano Rivera
Phil Rizzuto
Brooks Robinson
Jackie Robinson
John Rocker
Alex Rodriguez
Iván Rodríguez
Pete Rose
Babe Ruth
Nolan Ryan
CC Sabathia
Johan Santana
Ryne Sandberg
Max Scherzer
Curt Schilling
Gary Sheffield
Ozzie Smith
John Smoltz
Sammy Sosa
Stephen Strasburg
Darryl Strawberry
Ichiro Suzuki
Miguel Tejada
Frank Thomas
Jim Thome
Joe Torre
Mike Trout
Mo Vaughn
Randy Velarde
David Wells
Jayson Werth
Dontrelle Willis
Mookie Wilson
Tony Womack
Cy Young
Robin Yount
127
Basketball
Kareem Abdul-Jabbar
Mahmoud Abdul-Rauf
Arron Afflalo
Ray Allen
Carmelo Anthony
Rafael Araújo
Nate Archibald
Gilbert Arenas
Ron Artest / Metta World Peace
Stacey Augmon
Lonzo Ball
Mohamed Bamba
Charles Barkley
Matt Barnes
Len Bias
Mike Bibby
Chauncey Billups
Larry Bird
Manute Bol
Muggsy Bogues
Andrew Bogut
Matt Bonner
Devin Booker
Chris Bosh
Sam Bowie
Shawn Bradley
Elton Brand
Kobe Bryant
Liz Cambage
Marcus Camby
Vince Carter
Bill Cartwright
Sam Cassell
Wilt Chamberlain
Tom Chambers
Tyson Chandler
Josh Childress
Chris Childs
DeMarcus Cousins
Jamal Crawford
Eddie Curry
Stephen Curry
Marquis Daniels
Brandon Davies
Anthony Davis
DeMar DeRozan
Skylar Diggins
Vlade Divac
Clyde Drexler
Joe Dumars
Tim Duncan
Kevin Durant
Tyus Edney
Khalid El-Amin
Monta Ellis
Pervis Ellison
Joel Embiid
Julius Erving
Nick van Exel
Derek Fisher
Rick Fox
Steve Francis
Jimmer Fredette
Danilo Gallinari
Kevin Garnett
Marc Gasol
Pau Gasol
Rudy Gay
Paul George
Daniel Gibson
Manu Ginóbili
Brittney Griner
Drew Gooden
Danny Granger
Horace Grant
Draymond Green
Blake Griffin
Richard Hamilton
Penny Hardaway
Tim Hardaway
James Harden
Ron Harper
Tyler Hansbrough
Spencer Hawes
Grant Hill
Chamique Holdsclaw
Al Horford
Jeff Hornacek
Robert Horry
Eddie House
Allan Houston
Dwight Howard
Larry Hughes
Kris Humphries
Andre Iguodala
Kyrie Irving
Allen Iverson
Mark Jackson
LeBron James
Antawn Jamison
Brandon Jennings
Joe Johnson
Larry Johnson
Magic Johnson
DeAndre Jordan
Michael Jordan
Shawn Kemp
Steve Kerr
Jason Kidd
Andrei Kirilenko
Kerry Kittles
Brevin Knight
Christian Laettner
Bill Laimbeer
Kawhi Leonard
Lisa Leslie
Jeremy Lin
Shaun Livingston
Kevin Love
Kyle Lowry
Shelvin Mack
Mark Madsen
Rick Mahorn
Karl Malone
Moses Malone
Pete "Pistol Pete" Maravich
Stephon Marbury
Anthony Mason
O. J. Mayo
Luc Mbah a Moute
Rashad McCants
Tracy McGrady
Ron Mercer
Reggie Miller
Harold Miner
Yao Ming
Maya Moore
Ricky Moore
Markieff Morris
Alonzo Mourning
Dikembe Mutombo
Chris Mullin
Steve Nash
Nerlens Noel
Dirk Nowitzki
Charles O'Bannon
Ed O'Bannon
Charles Oakley
Lamar Odom
Emeka Okafor
Jahlil Okafor
Hakeem Olajuwon
Shaquille O'Neal
Michael Olowokandi
Victor Page
Candace Parker
Tony Parker
Chris Paul
Gary Payton
Paul Pierce
Scottie Pippen
Kristaps Porziņģis
Josh Powell
Mark Price
Tayshaun Prince
Michael Redd
J.J. Redick
Isaiah Rider, Jr
Austin Rivers
Oscar Robertson
David Robinson
Dennis Rodman
Magnum Rolle
Rajon Rondo
Derrick Rose
Jalen Rose
Ricky Rubio
Bill Russell
D'Angelo Russell
Arvydas Sabonis
John Salley
Iman Shumpert
Josh Smith
J.R. Smith
Latrell Sprewell
Jerry Stackhouse
Dawn Staley
John Starks
Ed Stefanski
Lance Stephenson
John Stockton
Peja Stojakovic
Amar'e Stoudemire
Rod Strickland
Rodney Stuckey
Sheryl Swoopes
Jayson Tatum
Sebastian Telfair
Jason Terry
Hasheem Thabeet
Kurt Thomas
Klay Thompson
Tristan Thompson
Charlie Villanueva
Dwyane Wade
Dion Waiters
Kemba Walker
John Wall
Ben Wallace
Rasheed Wallace
Charlie Ward
Clarence Weatherspoon
Delonte West
Dominique Wilkins
Jason Williams
Lou Williams
James Worthy
Nick Young
218
Bodybuilding
Lee Haney
Arnold Schwarzenegger
2
Boxing
Muhammad Ali 
Trevor Berbick
Riddick Bowe
Adrien Broner
Butterbean
Héctor Camacho
Oscar de la Hoya
Buster Douglas
Joe Frazier
Mitch Green
Naseem Hamed
Dusty Harrison
Evander Holyfield
Larry Holmes
Bernard Hopkins
Roy Jones Jr
Vitali Klitschko
Lennox Lewis
Sonny Liston
Paulie Mallignaggi
Rocky Marciano
Floyd Mayweather
Shane Mosley
Manny Pacquiao
Hasim Rahman
Sugar Ray Robinson
Mike Tyson
Pernell Whitaker
28
Chess
Bobby Fischer
1
Cricket
Andrew "Freddie" Flintoff
Brian Lara
2
Cycling
Lance Armstrong
1
Diving
Greg Louganis
1
 Football
Troy Aikman
David Akers
Nnamdi Asomugha
Miles Austin
Champ Bailey
Brian Baldinger
Tiki Barber
Ernie Barnes
Odell Beckham Jr
Jahvid Best
Jerome Bettis
LeGarrette Blount
Anquan Boldin
Terry Bradshaw
Tom Brady
Tyvon Branch
Drew Brees
Aaron Brooks
Jim Brown
Dez Bryant
Plaxico Burress
Reggie Bush
Dick Butkus
Rae Carruth
Ki-Jana Carter
Dustin Colquitt
Kirk Cousins
Eric Crouch
Larry Csonka
Daunte Culpepper
Randall Cunningham
Jay Cutler
Terrell Davis
Brian Dawkins
Ron Dayne
Anthony Dorsett
Warrick Dunn
John Elway
Curtis Enis
James Farrior
Marshall Faulk
Brett Favre
Joe Flacco
London Fletcher
Tommie Frazier
Rich Gannon
Jeff Garcia
Ernest Givins
Tony Gonzalez
Al Del Greco
"Mean" Joe Greene
Rob Gronkowski
Aaron Hernandez
Priest Holmes
Desmond Howard
Sam Hurd
Michael Irvin
Raghib Ismail
Bo Jackson
Sebastian Janikowski
Calvin Johnson
Chad Johnson/Ochocinco
Chris Johnson
Keyshawn Johnson
Adam “Pacman” Jones
Ed "Too Tall" Jones
Colin Kaepernick
Jim Kelly
Byron Leftwich
Matt Leinart
Cleo Lemon
Ray Lewis
Andrew Luck
Marshawn Lynch
Nick Mangold
Eli Manning
Peyton Manning
Olindo Mare
Dan Marino
Curtis Martin
Clay Matthews
LeSean McCoy
Darren McFadden
Donovan McNabb
Von Miller
Joe Montana
Warren Moon
Randy Moss
Joe Namath
Cam Newton
Danny O'Brien
Brian Orakpo
Terrell Owens
DeVante Parker
Walter Payton
Julius Peppers
William Perry
Adrian Peterson
Troy Polamalu
Ricky Proehl
Ed Reed
Darrelle Revis
Jerry Rice
Ray Rice
Philip Rivers
Aaron Rodgers
Ben Roethlisberger
Tony Romo
JaMarcus Russell
Matt Ryan
Mark Sanchez
Barry Sanders
Deion Sanders
Warren Sapp
Junior Seau
Shannon Sharpe
Richard Sherman
Jeremy Shockey
O.J. Simpson
Rod Smart
Emmitt Smith
Donté Stallworth
Michael Strahan
Matt Stover
Ndamukong Suh
Ike Taylor
Jason Taylor
Lawrence Taylor
Tim Tebow
Vinny Testaverde
Joe Theismann
Jim Thorpe
Pat Tillman
Robert Tonyan
LaDainian Tomlinson
Johnny Unitas
Michael Vick
Adam Vinatieri
Herschel Walker
Derrick Ward
Hines Ward
Kurt Warner
J.J. Watt
Ricky Watters
Pat White
Reggie White
Roddy White
Russell Wilson
Jason Witten
Charles Woodson
Vince Young
150
Football 
Freddy Adu
Gareth Bale
Mario Balotelli
David Beckham
Landon Donovan
Edin Džeko
Luis Boa Morte
Lionel Messi
Ruud van Nistelrooij/Nistelrooy
Pelé
Robin van Persie
Arjen Robben
Ronaldinho
Cristiano Ronaldo
Wayne Rooney
Wesley Sneijder
Teddy Sheringham
Jack Wilshere
Ian Wright
Zinedine Zidane
20
Fighting/Wrestling
2 Cold Scorpio
3.0
Tank Abbott
Abdullah the Butcher
Adrian Adonis
Captain Lou Albano
Dean Ambrose
André the Giant
Kurt Angle
Austin Aries
"Mr. USA" Tony Atlas
"Stone Cold" Steve Austin
Mike Awesome
Bob Backlund
Paul Bearer
Brutus Beefcake
Shelton Benjamin
Chris Benoit
The Big Bossman
The Big Show
Bam Bam Bigelow
"Classy" Freddie Blassie
Booker T
Dino Bravo
The Brisco Brothers
British Bulldog
Bruiser Brody
The Brooklyn Brawler
Bad News Brown
D-Lo Brown
King Kong Bundy
The Bushwhackers
Colt Cabana
Haystacks Calhoun
Gina Carano
John Cena
Masahiro Chono
Christian/Christian Cage
Steve Corino
Jim Cornette
Bo Dallas
Bryan Danielson/Daniel Bryan
Demolition
Ted DiBiase
Doink the Clown
Shane Douglas
Tommy Dreamer
The Dudley Boyz
Spike Dudley
Hacksaw Jim Duggan
Dungeon of Doom
Sonjay Dutt
The Dynamite Kid
"Precious" Paul Ellering
Sid Eudy/Sid Vicious/Sycho Sid
Howard Finkel
Fit Finlay
Ric Flair
Mick Foley 
Shoichi Funaki
Gangrel
Johnny Gargano
The Giant Gonzalez
Goldberg
Goldust
Gorgeous George
Royce Gracie
"Superstar" Billy Graham
The Great Muta
Forrest Griffin
Chavo Guerrero Jr
Eddie Guerrero
Charlie Haas
Scott "Razor Ramon" Hall
Stan Hansen
The Hardy Boyz
Jeff Hardy
Matt Hardy
Bret Hart
Jimmy Hart
Owen Hart
Bobby "The Brain" Heenan
"Mr. Perfect" Curt Hennig
Mark Henry
Chris Hero/Kassius Ohno
Paul Heyman/Paul E. Dangerously
Hillbilly Jim
Hulk Hogan
Bob "Hardcore" Holly
Molly Holly
The Honky Tonk Man
Barry Horowitz
Antonio Inoki
The Iron Sheik
Quentin "Rampage" Jackson
Mickie James
Marty Jannetty
Chris Jericho
Ahmed Johnson
Dwayne "The Rock" Johnson
S.D. Jones
The Junkyard Dog
Juventud Guerrera
Kamala
Kane
Stacy Keibler
Jim Kelly
Mr. Kennedy/Mr. Anderson
Kid Kash
Billy Kidman
Kofi Kingston
Kenta Kobashi
Ivan Koloff
Nikita Koloff
Killer Kowalski
Vanessa Kraven
Big  E. Langston
Bobby Lashley
Jerry Lawler
AJ Lee
Brock Lesnar
Chuck Liddell
Jushin Thunder Liger
Lex Luger
Jerry Lynn
Balls Mahoney
Dean Malenko
Rick Martel
Chief Wahoo McDaniel
Vince McMahon
Shawn Michaels
Mr. Fuji
Gorilla Monsoon
Pedro Morales
Don Muraco
Rey Mysterio
Kendo Nagasaki 
Bull Nakano
The Nasty Boys
Jim “The Anvil” Neidhart
Titus O'Neil
"Mean" Gene Okerlund
Kenny Omega
The One Man Gang/Akeem the African Dream
"Mr. Wonderful" Paul Orndorff
Randy Orton
Diamond Dallas Page
Papa Shango
Ken Patera
Seth Petruzelli
Brian Pillman
Rowdy Roddy Piper
Montel Vontavious Porter/MVP
The Powers of Pain
CM Punk
Harley Race
Raven
William Regal
Rhino/Rhyno
Cody Rhodes
Dusty Rhodes
Rikishi
The Road Warriors
Jake "The Snake" Roberts
Buddy Rogers
Bobby Roode
Jim Ross
Ronda Rousey
Ravishing Rick Rude
Ryback
Sabu
Bruno Sammartino
Samoa Joe
Damien Sandow
Tito Santana
Perry Saturn
Randy "Macho Man" Savage
Irwin R. Schyster
Veda Scott
Scotty 2 Hotty
Sgt. Slaughter
Dan Severn
Ken Shamrock
Sheamus
Ron Simmons
Heath Slater
Norman Smiley
Al Snow
Jimmy "Superfly" Snuka
Gordon Solie
Ricky "The Dragon" Steamboat
George "The Animal" Steele
Kevin Steen/Kevin Owens
Scott Steiner
Sting
Lance Storm
Big John Studd
AJ Styles
Yoshihiro Tajiri
Masato Tanaka
Triple H
Jack Tunney
The Ultimate Warrior
Ultimo Dragon
Umaga
The Undertaker
The Usos
Luna Vachon
Big Van Vader
Greg Valentine
Vampiro
Rob Van Dam
Jean-Claude Van Damme
Val Venis
Jesse Ventura
Virgil
Nikolai Volkoff
Kerry Von Erich
Kimona Wanalaya
Koko B. Ware
The Wild Samoans
Dr. Death Steve Williams
Barry Windham
Bray Wyatt
Yokozuna
Sami Zayn
Larry Zbyszko
Boris Zhukov
Dolph Ziggler
226
Golf
John Daly
Jack Nicklaus
Greg Norman
Arnold Palmer
Tiger Woods
5
Gymnastics
Dominique Dawes
Gabby Douglas
Nastia Liukin
McKayla Maroney
4
Hockey
Bobby Clarke
Sidney Crosby
Sergei Fedorov
Wayne Gretzky
Tim Horton
Gordie Howe
Jaromír Jágr
Vladimir Konstantinov
Guy Lafleur
Mario Lemieux
Eric Lindros
Auston Matthews
Mark Messier
Bobby Orr
Alex Ovechkin
Tuukka Rask
Luc Robitaille
Jeremy Roenick
Tyler Seguin
Steve Yzerman
Richard Zednik
21
Ice Skating
Brian Boitano
Peggy Fleming
Dorothy Hamill
Tonya Harding
Nancy Kerrigan
Michelle Kwan
Apolo Ohno
Kristi Yamaguchi
8
Racing
Mario Andretti
Greg Biffle
Dale Earnhardt, Jr
Dale Earnhardt, Sr
Jeff Gordon
Danica Patrick
Tony Stewart
7
Skateboarding
Tony Alva
Steve Berra
Rob Dyrdek
Tony Hawk
Terry Kennedy
Eric Koston
Rodney Mullen
Torey Pudwill
Paul Rodriguez
Ryan Sheckler
Nakel Smith
11
Snowboarding
Shaun White
1
Surfing
Kelly Slater
Donald Takayama
2
Swimming
Ryan Lochte
Michael Phelps
Mark Spitz
3
Tennis
Arthur Ashe
Roger Federer
Lleyton Hewitt
Billie Jean King
Anna Kournikova
Ivan Lendl
John McEnroe
Rafael Nadal
Andy Roddick
Pete Sampras
Maria Sharapova
Serena Williams
Venus Williams
13
Track & Field
Usain Bolt
Bruce Jenner
Florence "Flo-Jo" Griffith Joyner
Michael Johnson
Jackie Joyner-Kersee
Carl Lewis
Jesse Owens
Oscar Pistorius
Steve Prefontaine
9
Athletes who are also rappers
Ron Artest, "Metta World Peace"
Kobe Bryant
John Cena
Clint Dempsey
Kevin Durant
Emmanuel Frimpong
Allen Iverson
LeBron James
Damian Lillard
Shaquille O'Neal
Tony Parker
Lou Williams
12
Basketball Coaches
Red Auerbach
Geno Auriemma
John Calipari
Mike D'Antoni
Chuck Daly
Mike Fratello
Phil Jackson
Bob Knight
Mike Krzyzewski
Gregg Popovich
Pat Riley
Doc Rivers
Flip Saunders
Jerry Sloan
Erik Spoelstra
Brad Stevens
Pat Summitt
Stan Van Gundy
John Wooden
19
Football Coaches
Bill Belichick
Todd Bowles
Pete Carroll
Al Davis
Mike Ditka
Jon Gruden
Jim Harbaugh
Lane Kiffin
Vince Lombardi
John Madden
Bill Parcells
Joe Paterno
Sean Payton
Rick Pitino
Andy Reid
Rex Ryan
Nick Saban
Jerry Sandusky
Marty Schottenheimer
Don Shula
Mike Singletary
Mike Tomlin
Jim Tressel
23
Sportscasters
Marv Albert
Jay Bilas
Joe Buck
Harry Caray
Howard Cosell
Bob Costas
Harry Kalas
Mel Kiper Jr
Dave Niehaus
Craig Sager
Stuart Scott
Vin Scully
Stephen A. Smith
Michele Tafoya
Jeff Van Gundy
Scott Van Pelt
Dick Vitale
17
Executives
Mark Cuban
Dan Gilbert
Jerry Jones
Robert Kraft
Dan Snyder
George Steinbrenner
Donald Sterling
David Stern
8
Sports Business
LaVar Ball
Scott Boras
Phil Knight
William Wesley
4
