rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Bee Gees,How Deep Is Your Love,1,1,16,1978-01-07
2,Player,Baby Come Back,6,2,15,1978-01-07
3,Linda Ronstadt,Blue Bayou,3,3,18,1978-01-07
4,LTD,(Every Time I Turn Around) Back In Love Again,4,4,13,1978-01-07
5,Dolly Parton,Here You Come Again,8,5,13,1978-01-07
6,Debby Boone,You Light Up My Life,2,1,19,1978-01-07
7,Paul Simon,Slip Slidin' Away,10,7,13,1978-01-07
8,Bob Welch,Sentimental Lady,9,8,13,1978-01-07
9,Rod Stewart,You're In My Heart (The Final Acclaim),11,9,11,1978-01-07
10,Shaun Cassidy,Hey Deanie,15,10,9,1978-01-07
11,Styx,Come Sail Away,14,11,16,1978-01-07
12,High Inergy,You Can't Turn Me Off (In The Middle Of Turning Me On),12,12,17,1978-01-07
13,Queen,We Are The Champions,18,13,12,1978-01-07
14,Leif Garrett,Runaround Sue,19,14,9,1978-01-07
15,Linda Ronstadt,It's So Easy,5,5,14,1978-01-07
16,Crystal Gayle,Don't It Make My Brown Eyes Blue,7,2,22,1978-01-07
17,Randy Newman,Short People,20,17,9,1978-01-07
18,Billy Joel,Just The Way You Are,28,18,9,1978-01-07
19,"Earth, Wind & Fire",Serpentine Fire,24,19,11,1978-01-07
20,Electric Light Orchestra,Turn To Stone,27,20,8,1978-01-07
21,Paul Davis,I Go Crazy,23,21,20,1978-01-07
22,Elvis Presley,My Way,22,22,9,1978-01-07
23,Andy Gibb,(Love Is) Thicker Than Water,32,23,10,1978-01-07
24,Bay City Rollers,The Way I Feel Tonight,26,24,13,1978-01-07
25,Dan Hill,Sometimes When We Touch,40,25,7,1978-01-07
26,Chic,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",30,26,11,1978-01-07
27,Diana Ross,Gettin' Ready For Love,29,27,10,1978-01-07
28,Bee Gees,Stayin' Alive,39,28,5,1978-01-07
29,Neil Diamond,Desiree,35,29,6,1978-01-07
30,Kansas,Point Of Know Return,34,30,9,1978-01-07
31,Santa Esmeralda Starring Leroy Gomez,Don't Let Me Be Misunderstood,33,31,10,1978-01-07
32,The Babys,Isn't It Time,13,13,14,1978-01-07
33,Odyssey,Native New Yorker,36,33,9,1978-01-07
34,Wings,Girls' School,37,34,8,1978-01-07
35,Rita Coolidge,We're All Alone,16,7,17,1978-01-07
36,The Steve Miller Band,Swingtown,17,17,13,1978-01-07
37,Samantha Sang,Emotion,41,37,8,1978-01-07
38,Lynyrd Skynyrd,What's Your Name,52,38,6,1978-01-07
39,Donny & Marie Osmond,(You're My) Soul And Inspiration,43,39,8,1978-01-07
40,Steely Dan,Peg,44,40,8,1978-01-07
41,Cheech & Chong,Bloat On Featuring the Bloaters,42,41,9,1978-01-07
42,Stevie Wonder,As,49,39,10,1978-01-07
43,Peter Frampton,Tried To Love,47,43,5,1978-01-07
44,Millie Jackson,If You're Not Back In Love By Monday,48,44,8,1978-01-07
45,Bill Withers,Lovely Day,46,45,5,1978-01-07
46,John Denver,How Can I Leave You Again,53,46,7,1978-01-07
47,Foreigner,"Long, Long Way From Home",59,47,5,1978-01-07
48,KC And The Sunshine Band,Wrap Your Arms Around Me,50,48,6,1978-01-07
49,Commodores,Too Hot Ta Trot,56,49,4,1978-01-07
50,ConFunkShun,Ffun,75,50,4,1978-01-07
51,Fleetwood Mac,You Make Loving Fun,21,9,13,1978-01-07
52,Al Martino,The Next Hundred Years,64,52,5,1978-01-07
53,Wet Willie,Street Corner Serenade,55,53,6,1978-01-07
54,Chicago,"Baby, What A Big Surprise",25,4,16,1978-01-07
55,Leo Sayer,Easy To Love,66,55,5,1978-01-07
56,Paul Nicholas,Heaven On The 7th Floor,31,6,21,1978-01-07
57,Tom Petty And The Heartbreakers,Breakdown,68,57,10,1978-01-07
58,James Taylor,Your Smiling Face,38,20,15,1978-01-07
59,Heatwave,Boogie Nights,45,2,25,1978-01-07
60,LeBlanc & Carr,Falling,71,60,13,1978-01-07
61,Meco,Theme From Close Encounters,-,61,1,1978-01-07
62,Kenny Rogers,Sweet Music Man,73,62,4,1978-01-07
63,Donna Summer,I Love You,77,63,4,1978-01-07
64,Little River Band,Happy Anniversary,84,64,4,1978-01-07
65,Sammy Hagar,You Make Me Crazy,67,65,5,1978-01-07
66,Jay Ferguson,Thunder Island,78,66,4,1978-01-07
67,ABBA,The Name Of The Game,82,67,3,1978-01-07
68,Stillwater,Mind Bender,79,68,6,1978-01-07
69,Marilyn Scott,God Only Knows,74,69,5,1978-01-07
70,Ramones,Rockaway Beach,70,70,6,1978-01-07
71,John Williams,"Theme From ""Close Encounters Of The Third Kind""",81,71,3,1978-01-07
72,The Sylvers,Any Way You Want Me,72,72,7,1978-01-07
73,Johnny Rivers,"Curious Mind (Um, Um, Um, Um, Um, Um)",85,73,3,1978-01-07
74,Cat Stevens,Was Dog A Doughnut,76,74,8,1978-01-07
75,Eric Clapton,Lay Down Sally,-,75,1,1978-01-07
76,The Emotions,Don't Ask My Neighbors,51,44,11,1978-01-07
77,Barry White,It's Ecstasy When You Lay Down Next To Me,57,4,21,1978-01-07
78,Heatwave,Always And Forever,-,78,1,1978-01-07
79,War,Galaxy,-,79,1,1978-01-07
80,Rose Royce,Ooh Boy,86,80,7,1978-01-07
81,Kellee Patterson,"If It Don't Fit, Don't Force It",83,81,4,1978-01-07
82,Heart,Crazy On You,-,35,14,1978-01-07
83,El Coco,Cocomotion,91,83,7,1978-01-07
84,Le Pamplemousse,Le Spank,89,84,7,1978-01-07
85,Ronnie Milsap,What A Difference You've Made In My Life,87,85,3,1978-01-07
86,David Gates,Goodbye Girl,88,86,4,1978-01-07
87,George Duke,Reach For It,-,87,1,1978-01-07
88,Eric Carmen,Boats Against The Current,90,88,3,1978-01-07
89,David Castle,The Loneliest Man On The Moon,-,89,1,1978-01-07
90,Prism,Take Me To The Kaptin,-,90,1,1978-01-07
91,Bobby Arvon,Until Now,92,91,6,1978-01-07
92,The Alan Parsons Project,Don't Let It Show,93,92,4,1978-01-07
93,Santana,She's Not There,54,27,14,1978-01-07
94,Pockets,Come Go With Me,-,94,1,1978-01-07
95,Carpenters,Calling Occupants Of Interplanetary Craft,58,32,14,1978-01-07
96,Dave Mason,We Just Disagree,61,12,19,1978-01-07
97,Judy Collins,Send In The Clowns,63,19,27,1978-01-07
98,Al Green,Belle,-,98,1,1978-01-07
99,Carly Simon,Nobody Does It Better,62,2,25,1978-01-07
100,Donna Summer,I Feel Love,65,6,23,1978-01-07
1,Player,Baby Come Back,2,1,16,1978-01-14
2,Bee Gees,How Deep Is Your Love,1,1,17,1978-01-14
3,Dolly Parton,Here You Come Again,5,3,14,1978-01-14
4,Rod Stewart,You're In My Heart (The Final Acclaim),9,4,12,1978-01-14
5,LTD,(Every Time I Turn Around) Back In Love Again,4,4,14,1978-01-14
6,Paul Simon,Slip Slidin' Away,7,6,14,1978-01-14
7,Shaun Cassidy,Hey Deanie,10,7,10,1978-01-14
8,Bob Welch,Sentimental Lady,8,8,14,1978-01-14
9,Styx,Come Sail Away,11,9,17,1978-01-14
10,Queen,We Are The Champions,13,10,13,1978-01-14
11,Debby Boone,You Light Up My Life,6,1,20,1978-01-14
12,High Inergy,You Can't Turn Me Off (In The Middle Of Turning Me On),12,12,18,1978-01-14
13,Linda Ronstadt,Blue Bayou,3,3,19,1978-01-14
14,Leif Garrett,Runaround Sue,14,14,10,1978-01-14
15,Randy Newman,Short People,17,15,10,1978-01-14
16,Billy Joel,Just The Way You Are,18,16,10,1978-01-14
17,Bee Gees,Stayin' Alive,28,17,6,1978-01-14
18,Electric Light Orchestra,Turn To Stone,20,18,9,1978-01-14
19,"Earth, Wind & Fire",Serpentine Fire,19,19,12,1978-01-14
20,Andy Gibb,(Love Is) Thicker Than Water,23,20,11,1978-01-14
21,Paul Davis,I Go Crazy,21,21,21,1978-01-14
22,Dan Hill,Sometimes When We Touch,25,22,8,1978-01-14
23,Chic,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",26,23,12,1978-01-14
24,Bay City Rollers,The Way I Feel Tonight,24,24,14,1978-01-14
25,Crystal Gayle,Don't It Make My Brown Eyes Blue,16,2,23,1978-01-14
26,Neil Diamond,Desiree,29,26,7,1978-01-14
27,Diana Ross,Gettin' Ready For Love,27,27,11,1978-01-14
28,Santa Esmeralda Starring Leroy Gomez,Don't Let Me Be Misunderstood,31,28,11,1978-01-14
29,Kansas,Point Of Know Return,30,29,10,1978-01-14
30,Linda Ronstadt,It's So Easy,15,5,15,1978-01-14
31,Samantha Sang,Emotion,37,31,9,1978-01-14
32,Odyssey,Native New Yorker,33,32,10,1978-01-14
